figure,value_desc,value,source,paper_value,match
correlated_true_loss.pdf,s=150 mean true_loss,0.355,results/data/exp_14_correlated_committees.csv:s=150.mean_true_loss,0.355,True
correlated_committee.pdf,s=100 plug-in undercoverage,0.62,results/data/exp_14_correlated_committees.csv:s=100.plugin_under_coverage_rate,0.62,True
correlated_true_loss.pdf,s=100 mean true_loss,0.358,results/data/exp_14_correlated_committees.csv:s=100.mean_true_loss,0.358,True
correlated_committee.pdf,s=75 plug-in undercoverage,0.88,results/data/exp_14_correlated_committees.csv:s=75.plugin_under_coverage_rate,0.88,True
correlated_true_loss.pdf,s=75 mean true_loss,0.361,results/data/exp_14_correlated_committees.csv:s=75.mean_true_loss,0.361,True
correlated_committee.pdf,s=50 plug-in undercoverage,1.0,results/data/exp_14_correlated_committees.csv:s=50.plugin_under_coverage_rate,1.0,True
correlated_true_loss.pdf,s=50 mean true_loss,0.366,results/data/exp_14_correlated_committees.csv:s=50.mean_true_loss,0.366,True
correlated_committee.pdf,s=30 plug-in undercoverage,1.0,results/data/exp_14_correlated_committees.csv:s=30.plugin_under_coverage_rate,1.0,True
correlated_true_loss.pdf,s=30 mean true_loss,0.377,results/data/exp_14_correlated_committees.csv:s=30.mean_true_loss,0.377,True
correlated_committee.pdf,s=20 plug-in undercoverage,1.0,results/data/exp_14_correlated_committees.csv:s=20.plugin_under_coverage_rate,1.0,True
correlated_true_loss.pdf,s=20 mean true_loss,0.388,results/data/exp_14_correlated_committees.csv:s=20.mean_true_loss,0.388,True
correlated_committee.pdf,s=10 plug-in undercoverage,1.0,results/data/exp_14_correlated_committees.csv:s=10.plugin_under_coverage_rate,1.0,True
correlated_true_loss.pdf,s=10 mean true_loss,0.418,results/data/exp_14_correlated_committees.csv:s=10.mean_true_loss,0.418,True
correlated_committee.pdf,s=5 plug-in undercoverage,1.0,results/data/exp_14_correlated_committees.csv:s=5.plugin_under_coverage_rate,1.0,True
correlated_true_loss.pdf,s=5 mean true_loss,0.461,results/data/exp_14_correlated_committees.csv:s=5.mean_true_loss,0.461,True
correlated_committee.pdf,s=2 plug-in undercoverage,1.0,results/data/exp_14_correlated_committees.csv:s=2.plugin_under_coverage_rate,1.0,True
correlated_true_loss.pdf,s=2 mean true_loss,0.523,results/data/exp_14_correlated_committees.csv:s=2.mean_true_loss,0.523,True
rareunit_m_vs_inv_p.pdf,fit slope,1.002,"results/data/exp_a3_rare_unit_scaling.csv:polyfit(log(inv_p),log(m_required))",1.002,True
rareunit_m_vs_inv_p.pdf,R^2,1.0,results/data/exp_a3_rare_unit_scaling.csv:polyfit residual R^2,1.0,True
rareunit_m_vs_inv_p.pdf,p=0.1 m_required,2068,results/data/exp_a3_rare_unit_scaling.csv:p=0.1.m_required,2068,True
rareunit_m_vs_inv_p.pdf,p=0.03 m_required,6919,results/data/exp_a3_rare_unit_scaling.csv:p=0.03.m_required,6919,True
rareunit_m_vs_inv_p.pdf,p=0.01 m_required,20781,results/data/exp_a3_rare_unit_scaling.csv:p=0.01.m_required,20781,True
eta_success_term_violation.pdf,instances,1200,results/data/exp_02_eta_positive_success_term.csv:len(df),1200,True
exp_06_naive_vs_true_scatter.pdf,instances,3600,results/data/exp_06_prefix_drift.csv:len(df),3600,True
falsification_violation.pdf,unweighted violation rate,1.0,results/data/exp_05_falsification.csv:baseline=unweighted.violation_rate,1.0,True
falsification_violation.pdf,plugin_alpha violation rate,0.177,results/data/exp_05_falsification.csv:baseline=plugin_alpha.violation_rate,0.177,True
